,Title,Published_date,Views,Likes,Comments,Month
0,Making Huge Profit From Case Opening,2022-11-06,46678,9361,639,Nov
1,Mr. Marlega - The Untold Story Finale | Casino Heist,2022-11-04,79571,14059,2691,Nov
2,India vs Bangladesh Full Match Highlights Hindi Commentary,2022-11-02,105667,5688,889,Nov
3,Call of Duty Modern Warfare 2 Full Game | Live Stream India,2022-11-02,101383,9512,369,Nov
4,When GIRLS Comment on your VIDEOS,2022-11-01,40136,6881,1142,Nov
5,Court Hearing on our First DEA Case | GTA 5 RP on VLT Roleplay,2022-10-31,115356,11866,406,Oct
6,1 Ball 1 Run 1 Wicket,2022-10-30,72810,6489,1541,Oct
7,DEA Chief Cypher Reporting on Duty | GTA 5 RP on VLT Roleplay,2022-10-29,134545,13003,714,Oct
8,100$ To Kick Out Your Friend,2022-10-29,39597,6796,1008,Oct
9,Unboxing My New LG Ultragear Monitor & Just Chatting,2022-10-28,64641,7533,254,Oct
10,Is DEA Department Approved ?? GTA 5 RP on VLT Roleplay,2022-10-27,126569,11413,499,Oct
11,Plague Tale Requiem Ending Gameplay Live Stream India,2022-10-26,55369,6679,192,Oct
12,Narendra Modi Ji know about my YouTube Channel,2022-10-26,52418,9209,609,Oct
13,Pummel Party Ft. Indian YouTubers,2022-10-25,83460,8975,449,Oct
14,Last Over 9 Runs Required,2022-10-23,52120,8180,978,Oct
15,This Game is FREE | Overwatch 2 Live Stream India,2022-10-22,68705,7795,71,Oct
16,How to make Money in GTA 5 ??  GTA 5 RP on VLT Roleplay,2022-10-21,105357,10548,190,Oct
17,Youtubers With Amazing Drawing Skills,2022-10-21,35100,6796,215,Oct
18,Plague Tale Requiem Gameplay Live Stream India | Part 2,2022-10-20,46282,6337,113,Oct
19,Lost $400K in Casino Tonight | GTA 5 RP on VLT Roleplay,2022-10-19,123830,12157,226,Oct
20,Plague Tale Requiem Gameplay Live Stream India | Part 1,2022-10-18,62110,7671,95,Oct
21,Life after leaving a Police Job | GTA 5 RP on VLT Roleplay,2022-10-17,142588,13678,156,Oct
22,HARBOR Abilities Explained | New Valorant Agent,2022-10-15,40089,8167,409,Oct
23,Cypher X Javier Marlega,2022-10-14,73095,15714,2206,Oct
24,Just Chatting & Poppy Playtime Live Stream India,2022-10-13,74140,8336,162,Oct
25,3 Beautiful Ladies Coming Together To Beat Me in UNO,2022-10-12,95226,9823,98,Oct
26,Her Reaction was Priceless,2022-10-12,60487,8592,185,Oct
27,Just Chatting & GTA 5 Grand RP Live Stream India,2022-10-11,73214,7669,102,Oct
28,10 Streamers Collaborations  | Valorant Live Stream India,2022-10-10,76871,8324,88,Oct
